date;year;month;day_of_week;weekend;state;region;city;age;occupation;family_members;temperature;rain;consume
01/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;28;0;595
02/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;30;0;600
03/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;28;1;605
04/07/2023;2023;7;2;0;italy;emilia-romagna;modena;23;student;4;28;1;610
05/07/2023;2023;7;3;0;italy;emilia-romagna;modena;23;student;4;32;0;615
06/07/2023;2023;7;4;0;italy;emilia-romagna;modena;23;student;4;28;0;620
07/07/2023;2023;7;5;0;italy;emilia-romagna;modena;23;student;4;28;0;625
08/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;29;0;630
09/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;31;0;635
10/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;31;0;640
11/07/2023;2023;7;2;0;italy;emilia-romagna;modena;23;student;4;31;0;645
12/07/2023;2023;7;3;0;italy;emilia-romagna;modena;23;student;4;32;0;650
13/07/2023;2023;7;4;0;italy;emilia-romagna;modena;23;student;4;32;0;655
14/07/2023;2023;7;5;0;italy;emilia-romagna;modena;23;student;4;29;0;660
15/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;29;0;665
16/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;31;0;670
17/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;28;0;675
18/07/2023;2023;7;2;0;italy;emilia-romagna;modena;23;student;4;30;0;680
19/07/2023;2023;7;3;0;italy;emilia-romagna;modena;23;student;4;31;0;685
20/07/2023;2023;7;4;0;italy;emilia-romagna;modena;23;student;4;31;0;690
21/07/2023;2023;7;5;0;italy;emilia-romagna;modena;23;student;4;30;0;695
22/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;28;0;700
23/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;29;0;705
24/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;32;0;710
25/07/2023;2023;7;2;0;italy;emilia-romagna;modena;23;student;4;32;0;715
26/07/2023;2023;7;3;0;italy;emilia-romagna;modena;23;student;4;29;0;720
27/07/2023;2023;7;4;0;italy;emilia-romagna;modena;23;student;4;32;0;725
28/07/2023;2023;7;5;0;italy;emilia-romagna;modena;23;student;4;30;0;730
29/07/2023;2023;7;6;1;italy;emilia-romagna;modena;23;student;4;29;0;735
30/07/2023;2023;7;7;1;italy;emilia-romagna;modena;23;student;4;28;0;740
31/07/2023;2023;7;1;0;italy;emilia-romagna;modena;23;student;4;31;0;745
01/08/2023;2023;8;2;0;italy;emilia-romagna;modena;23;student;4;35;0;750
02/08/2023;2023;8;3;0;italy;emilia-romagna;modena;23;student;4;36;1;755
03/08/2023;2023;8;4;0;italy;emilia-romagna;modena;23;student;4;31;0;760
04/08/2023;2023;8;5;0;italy;emilia-romagna;modena;23;student;4;32;0;765
05/08/2023;2023;8;6;1;italy;emilia-romagna;modena;23;student;4;32;0;770
06/08/2023;2023;8;7;1;italy;emilia-romagna;modena;23;student;4;31;0;775
07/08/2023;2023;8;1;0;italy;emilia-romagna;modena;23;student;4;33;0;780
08/08/2023;2023;8;2;0;italy;emilia-romagna;modena;23;student;4;35;0;785
09/08/2023;2023;8;3;0;italy;emilia-romagna;modena;23;student;4;34;0;790
10/08/2023;2023;8;4;0;italy;emilia-romagna;modena;23;student;4;35;0;795
11/08/2023;2023;8;5;0;italy;emilia-romagna;modena;23;student;4;31;0;800
12/08/2023;2023;8;6;1;italy;emilia-romagna;modena;23;student;4;34;0;805
13/08/2023;2023;8;7;1;italy;emilia-romagna;modena;23;student;4;36;0;810
14/08/2023;2023;8;1;0;italy;emilia-romagna;modena;23;student;4;33;0;815
15/08/2023;2023;8;2;0;italy;emilia-romagna;modena;23;student;4;35;0;820
16/08/2023;2023;8;3;0;italy;emilia-romagna;modena;23;student;4;33;0;825
17/08/2023;2023;8;4;0;italy;emilia-romagna;modena;23;student;4;35;0;830
18/08/2023;2023;8;5;0;italy;emilia-romagna;modena;23;student;4;33;0;835
